County,Code,Alternative code,Image url
Blekinge,SE-K,[SE-10],https://www.crwflags.com/fotw/images/s/se-10.gif
Dalarna,SE-W,[SE-20],https://www.crwflags.com/fotw/images/s/se-20.gif
Gävleborg,SE-X,[SE-21],https://www.crwflags.com/fotw/images/s/se-21.gif
Gotland,SE-I,[SE-09],https://www.crwflags.com/fotw/images/s/se-09.gif
Halland,SE-N,[SE-13],https://www.crwflags.com/fotw/images/s/se-13.gif
Jämtland,SE-Z,[SE-23],https://www.crwflags.com/fotw/images/s/se-23.gif
Jönköping,SE-F,[SE-06],https://www.crwflags.com/fotw/images/s/se-06.gif
Kalmar,SE-H,[SE-08],https://www.crwflags.com/fotw/images/s/se-08.gif
Kronoberg,SE-G,[SE-07],https://www.crwflags.com/fotw/images/s/se-07.gif
Norrbotten,SE-BD,[SE-25],https://www.crwflags.com/fotw/images/s/se-25.gif
Örebro,SE-T,[SE-18],https://www.crwflags.com/fotw/images/s/se-18.gif
Östergötland,SE-E,[SE-05],https://www.crwflags.com/fotw/images/s/se-05.gif
Skåne,SE-M,[SE-12],https://www.crwflags.com/fotw/images/s/se-12.gif
Sörmland,SE-D,[SE-04],https://www.crwflags.com/fotw/images/s/se-04.gif
Stockholm,SE-AB,[SE-01],https://www.crwflags.com/fotw/images/s/se-01.gif
Uppsala,SE-C,[SE-03],https://www.crwflags.com/fotw/images/s/se-03.gif
Värmland,SE-S,[SE-17],https://www.crwflags.com/fotw/images/s/se-17.gif
Västerbotten,SE-AC,[SE-24],https://www.crwflags.com/fotw/images/s/se-24.gif
Västernorrland,SE-Y,[SE-22],https://www.crwflags.com/fotw/images/s/se-22.gif
Västmanland,SE-U,[SE-19],https://www.crwflags.com/fotw/images/s/se-19.gif
Västra Götaland,SE-O,[SE-14],https://www.crwflags.com/fotw/images/s/se-14.gif
